epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
161,2659.58,0.66847,0.3678,0.95524,0.81599,0.83802,0.8722,0.50316,1.43673,0.68012,1.71569,0.000231088,0.000231088,0.000231088
162,2676.11,0.66079,0.36579,0.95477,0.84091,0.85609,0.87687,0.51125,1.43636,0.66773,1.70926,0.000225589,0.000225589,0.000225589
163,2692.61,0.66231,0.37229,0.9597,0.84127,0.81553,0.87973,0.50796,1.44274,0.6899,1.70148,0.000220089,0.000220089,0.000220089
164,2709.21,0.67636,0.36948,0.95544,0.83756,0.82359,0.88256,0.50643,1.4488,0.67306,1.72514,0.00021459,0.00021459,0.00021459
165,2725.71,0.65217,0.36813,0.95219,0.86775,0.77883,0.86624,0.49502,1.44838,0.70618,1.71914,0.00020909,0.00020909,0.00020909
166,2742.23,0.65044,0.36158,0.96234,0.82926,0.82809,0.87127,0.5045,1.44233,0.70836,1.71703,0.000203591,0.000203591,0.000203591
167,2758.72,0.63725,0.35817,0.95572,0.8061,0.79548,0.86234,0.49631,1.44741,0.70643,1.74685,0.000198091,0.000198091,0.000198091
168,2775.23,0.64437,0.36474,0.95205,0.85044,0.78893,0.85739,0.48709,1.45413,0.76257,1.73977,0.000192592,0.000192592,0.000192592
169,2791.73,0.64198,0.35785,0.94935,0.82004,0.81211,0.84659,0.48371,1.46452,0.75247,1.74384,0.000187092,0.000187092,0.000187092
170,2808.23,0.63932,0.35655,0.94851,0.85048,0.81203,0.85966,0.49422,1.45231,0.7438,1.74599,0.000181593,0.000181593,0.000181593
171,2824.77,0.63993,0.36425,0.9582,0.86627,0.82275,0.86234,0.48922,1.45276,0.7524,1.75212,0.000176094,0.000176094,0.000176094
172,2841.27,0.63198,0.35795,0.94692,0.83816,0.80744,0.85792,0.49814,1.43715,0.72626,1.74833,0.000170594,0.000170594,0.000170594
173,2857.72,0.62547,0.34875,0.95044,0.82894,0.8124,0.8568,0.49577,1.44247,0.73717,1.73984,0.000165095,0.000165095,0.000165095
174,2874.23,0.63362,0.35487,0.94289,0.8499,0.76859,0.85981,0.50297,1.42904,0.72657,1.72097,0.000159595,0.000159595,0.000159595
175,2890.77,0.6286,0.34829,0.95545,0.84296,0.8436,0.8773,0.50432,1.44045,0.70944,1.73835,0.000154096,0.000154096,0.000154096
176,2907.23,0.64155,0.35996,0.95345,0.84852,0.84025,0.87388,0.50733,1.44163,0.71548,1.72975,0.000148596,0.000148596,0.000148596
177,2923.77,0.63026,0.35605,0.94623,0.82706,0.79937,0.86104,0.48851,1.45454,0.74041,1.7462,0.000143097,0.000143097,0.000143097
178,2940.3,0.62686,0.34936,0.94445,0.84746,0.80814,0.87069,0.49546,1.44315,0.71613,1.73003,0.000137597,0.000137597,0.000137597
179,2956.81,0.60799,0.34264,0.92971,0.82994,0.77162,0.86708,0.50284,1.4384,0.71921,1.72876,0.000132098,0.000132098,0.000132098
180,2973.28,0.62395,0.34894,0.9422,0.83372,0.80827,0.86405,0.50106,1.43829,0.71971,1.73457,0.000126598,0.000126598,0.000126598
181,2989.76,0.61312,0.34869,0.93817,0.85051,0.81653,0.86619,0.50207,1.43393,0.72613,1.73264,0.000121099,0.000121099,0.000121099
